result_tag,result_type,label,features
pg00_physical_cell,PlotGroup3D,00 Physical Cell - Full 3D | REAL / PHYSICAL,dset_physical_mesh
pg_n2_velocity,PlotGroup3D,REAL GAS FLOW | N2 Velocity,surf;slice
pg_n2_pressure,PlotGroup3D,REAL GAS FLOW | N2 Pressure,surf;slice
pg_h2_velocity,PlotGroup3D,REAL GAS FLOW | H2 Velocity,surf
pg_h2_pressure,PlotGroup3D,REAL GAS FLOW | H2 Pressure,surf
pg_n2_gas_conc,PlotGroup3D,REAL SPECIES TRANSPORT | N2 Gas Concentration - Real Geometry,vol
pg_n2_dissolved_real,PlotGroup3D,REAL SPECIES TRANSPORT | Dissolved N2 - Real Geometry,vol
pg_n2_availability,PlotGroup3D,REAL SPECIES TRANSPORT | N2 Availability at Cathode,surf
pg_n2_flux_real,PlotGroup3D,N2 Flux Through Cathode SSC | HOMOGENIZED THIN-LAYER,surf
pg_n2_transport_resistance,PlotGroup1D,N2 Transport Resistance | HOMOGENIZED SSC | PROVISIONAL_SENSITIVITY,glob
pg_n2_reaction_uniformity,PlotGroup3D,N2 Reaction-Plane Uniformity | REAL INTERFACE,surf
pg_h2_gas_conc,PlotGroup3D,REAL SPECIES TRANSPORT | H2 Gas Concentration - Real Geometry,vol
pg_h2_availability,PlotGroup3D,REAL SPECIES TRANSPORT | H2 Availability at PtAuSSC,surf
pg_h2_transport_resistance,PlotGroup1D,H2 Gas Transport Resistance | POROUS-INTERFACE SCAFFOLD,glob
pg_donor_real,PlotGroup3D,REAL SPECIES TRANSPORT | Proton Donor - Real Geometry | CALIBRATION_REQUIRED identity,vol
pg_nh3_real,PlotGroup3D,REAL SPECIES TRANSPORT | NH3 - Real Geometry | NUMERICAL_VERIFICATION_ONLY source,vol
pg_tracer_real,PlotGroup3D,REAL SPECIES TRANSPORT | Tracer - Real Geometry | PROVISIONAL Q,surf
pg_nh3_downstream,PlotGroup1D,TRANSIENT / ENGINEERING | NH3 Downstream Response | REDUCED equivalent PFA,line
pg_nh3_breakthrough,PlotGroup1D,NH3 Outlet Breakthrough | REDUCED equivalent downstream,point
pg_nh3_inventory,PlotGroup1D,NH3 Inventory Density Profile | REDUCED equivalent downstream,line
pg01_physical_exploded,PlotGroup3D,01 Physical Cell - Exploded SSC/Gasket | DISPLAY SCALE ONLY,dset_physical_mesh
pg02_gas_connections,PlotGroup3D,02 Gas Port Connections - PFA 3x2 mm | NO PEEK INTERNAL GEOMETRY,dset_physical_mesh
pg03_n2_channel,PlotGroup3D,03 Real N2 Channel,surf
pg04_h2_channel,PlotGroup3D,04 Real H2 Channel,surf
pg05_electrolyte,PlotGroup3D,05 Electrolyte Chamber,surf
pg06_ssc_true_scale,PlotGroup3D,Physical SSC - true scale | t=30 um LITERATURE_SAME_PLATFORM,dset_physical_mesh
pg_liq_velocity,PlotGroup3D,REAL FLOW RESULTS | Electrolyte Velocity,surf;slice
pg_liq_pressure,PlotGroup3D,REAL FLOW RESULTS | Electrolyte Pressure,surf;slice
pg_liq_streamlines,PlotGroup3D,Liquid Streamlines,str
pg_liq_wall_shear,PlotGroup3D,REAL FLOW RESULTS | Electrolyte Wall Shear,surf
pg_n2_streamlines,PlotGroup3D,N2 Streamlines,str
pg_n2_wall_shear,PlotGroup3D,REAL FLOW RESULTS | N2 Wall Shear,surf
pg_pipe_dp,PlotGroup1D,REDUCED MODEL RESULTS | External Pipe Pressure [REDUCED MODEL],line
pg_ssc_dp,PlotGroup2D,REDUCED MODEL RESULTS | SSC Darcy Pressure [REDUCED MODEL],surf
pg_ssc_velocity,PlotGroup2D,REDUCED MODEL RESULTS | SSC Darcy Velocity [REDUCED MODEL],surf
pg_ssc_sl,PlotGroup2D,REDUCED MODEL RESULTS | SSC Liquid Saturation [REDUCED MODEL],surf
pg_ssc_sg,PlotGroup2D,REDUCED MODEL RESULTS | SSC Gas Saturation [REDUCED MODEL],surf
pg_penetration,PlotGroup2D,REDUCED MODEL RESULTS | Liquid Penetration [REDUCED MODEL],surf
pg_flood_front,PlotGroup2D,REDUCED MODEL RESULTS | Flooding Front [REDUCED MODEL],cont
pg_n2_conc,PlotGroup2D,REDUCED MODEL RESULTS | N2 Transfer Concentration [REDUCED / PHENOMENOLOGICAL MODEL],surf
pg_n2_flux,PlotGroup2D,REDUCED MODEL RESULTS | N2 Transfer Flux [REDUCED / PHENOMENOLOGICAL MODEL],surf
tbl_rtd_e,Table,RTD E(t) | ACCEPTED MEDIUM | Q PROVISIONAL_SENSITIVITY,rows=3703
tbl_rtd_f,Table,RTD F(t) | ACCEPTED MEDIUM | Q PROVISIONAL_SENSITIVITY,rows=3703
