section,case,metric,value
real_cad_flow,saved_case,liquid_dp_Pa,3.42685384837
real_cad_flow,saved_case,n2_dp_Pa,96.1940176856
real_cad_flow,saved_case,liquid_mass_balance_relative,3.97046694025e-16
real_cad_flow,saved_case,n2_mass_balance_relative,3.43048343638e-15
real_cad_flow,saved_case,h2_dp_Pa,31.4624814583
real_cad_flow,saved_case,h2_mass_balance_relative,0.000346342603067
real_cad_flow,saved_case,h2_speed_max_m_s,1.36591775962
pipe,saved_case,n2_dp_Pa,7.46967199578
pipe,saved_case,h2_dp_Pa,3.77727731605
pipe,saved_case,liquid_known_dp_Pa,32.8034711678
pressure_budget,saved_case,n2_total_known_Pa,103.663689681
pressure_budget,saved_case,h2_total_known_Pa,35.2397587743
pressure_budget,saved_case,liquid_total_known_Pa,36.2303250161
porous_ssc,K_m2_1.00000000000e-13,dp_Pa,1500.00000000
porous_ssc,K_m2_1.00000000000e-13,u_superficial_m_s,0.0108695652174
porous_ssc,K_m2_1.00000000000e-12,dp_Pa,1500.00000000
porous_ssc,K_m2_1.00000000000e-12,u_superficial_m_s,0.108695652174
porous_ssc,K_m2_1.00000000000e-11,dp_Pa,1500.00000000
porous_ssc,K_m2_1.00000000000e-11,u_superficial_m_s,1.08695652174
porous_ssc,K_m2_1.00000000000e-10,dp_Pa,1500.00000000
porous_ssc,K_m2_1.00000000000e-10,u_superficial_m_s,10.8695652174
porous_ssc,K_m2_1.00000000000e-09,dp_Pa,1500.00000000
porous_ssc,K_m2_1.00000000000e-09,u_superficial_m_s,108.695652174
wetting,dp_Pa_0.00000000000,Sl_min,0.0100000000000
wetting,dp_Pa_0.00000000000,Sl_max,0.0100000000000
wetting,dp_Pa_0.00000000000,gas_side_Sl,0.0100000000000
wetting,dp_Pa_500.000000000,Sl_min,0.00969923535099
wetting,dp_Pa_500.000000000,Sl_max,0.0103062838408
wetting,dp_Pa_500.000000000,gas_side_Sl,0.0103062838408
wetting,dp_Pa_1000.00000000,Sl_min,0.00940462611051
wetting,dp_Pa_1000.00000000,Sl_max,0.0106174135891
wetting,dp_Pa_1000.00000000,gas_side_Sl,0.0106174135891
wetting,dp_Pa_1500.00000000,Sl_min,0.00911690533193
wetting,dp_Pa_1500.00000000,Sl_max,0.0109326458319
wetting,dp_Pa_1500.00000000,gas_side_Sl,0.0109326458319
wetting,dp_Pa_2000.00000000,Sl_min,0.00999999985105
wetting,dp_Pa_2000.00000000,Sl_max,0.0224970906274
wetting,dp_Pa_2000.00000000,gas_side_Sl,0.0112522515145
wetting,dp_Pa_3000.00000000,Sl_min,0.00999999994015
wetting,dp_Pa_3000.00000000,Sl_max,0.0284430344568
wetting,dp_Pa_3000.00000000,gas_side_Sl,0.0119016705370
n2_transfer,saved_case,in_mol_s,9.66841603031e-10
n2_transfer,saved_case,out_mol_s,9.66841603054e-10
n2_transfer,saved_case,accumulation_mol_s,0
n2_transfer,saved_case,residual_mol_s,-2.23411143693e-20
n2_transfer,saved_case,residual_relative,2.31073159230e-11
n2_transfer,saved_case,interface_c_mol_m3,0.966841603054
n2_transfer,saved_case,Pe,32608.6956522
n2_transfer,saved_case,k_eff_m_s,3.85682804593e-07
