"kappa_el_S_m","Icell_mA","j_app_A_m2","simulated_voltage_V","analytic_voltage_V","voltage_relative_error","effective_resistance_ohm","current_balance_relative_error","side_leakage_relative_error","status","reason"
"0.100000000000","10.0000000000","3.30578512397","0.132231404959","0.132231404959","8.39606162373e-15","13.2231404959","1.27603711578e-14","5.21466898836e-16","PASS","all_thresholds_and_signs_pass"
"0.100000000000","50.0000000000","16.5289256198","0.661157024793","0.661157024793","7.38853422888e-15","13.2231404959","1.51425300890e-14","1.54519256609e-16","PASS","all_thresholds_and_signs_pass"
"0.100000000000","100.000000000","33.0578512397","1.32231404959","1.32231404959","5.37347943919e-15","13.2231404959","1.48722260622e-14","1.61770985934e-16","PASS","all_thresholds_and_signs_pass"
"0.100000000000","250.000000000","82.6446280992","3.30578512397","3.30578512397","4.70179450929e-15","13.2231404959","1.89044504017e-14","1.41681285572e-16","PASS","all_thresholds_and_signs_pass"
"0.100000000000","500.000000000","165.289256198","6.61157024793","6.61157024793","4.56745752331e-15","13.2231404959","1.52442552538e-14","1.45222118890e-16","PASS","all_thresholds_and_signs_pass"
"0.200000000000","10.0000000000","3.30578512397","0.0661157024793","0.0661157024793","1.25940924356e-15","6.61157024793","1.08610662824e-14","1.10675239792e-15","PASS","all_thresholds_and_signs_pass"
"0.200000000000","50.0000000000","16.5289256198","0.330578512397","0.330578512397","3.02258218454e-15","6.61157024793","1.24548930714e-14","1.47577153314e-16","PASS","all_thresholds_and_signs_pass"
"0.200000000000","100.000000000","33.0578512397","0.661157024793","0.661157024793","4.36595204434e-15","6.61157024793","1.21337093747e-14","7.30187727504e-17","PASS","all_thresholds_and_signs_pass"
"0.200000000000","250.000000000","82.6446280992","1.65289256198","1.65289256198","3.08975067753e-15","6.61157024793","1.43641286341e-14","4.22516164413e-17","PASS","all_thresholds_and_signs_pass"
"0.200000000000","500.000000000","165.289256198","3.30578512397","3.30578512397","2.95541369155e-15","6.61157024793","1.40533192514e-14","6.45091411244e-17","PASS","all_thresholds_and_signs_pass"
"0.500000000000","10.0000000000","3.30578512397","0.0264462809917","0.0264462809917","6.42823468067e-15","2.64462809917","1.62000121805e-14","3.15453793662e-15","PASS","all_thresholds_and_signs_pass"
"0.500000000000","50.0000000000","16.5289256198","0.132231404959","0.132231404959","9.86537240788e-15","2.64462809917","1.49054078992e-14","7.85992476066e-16","PASS","all_thresholds_and_signs_pass"
"0.500000000000","100.000000000","33.0578512397","0.264462809917","0.264462809917","1.07049785703e-14","2.64462809917","1.44220430269e-14","5.44255219131e-16","PASS","all_thresholds_and_signs_pass"
"0.500000000000","250.000000000","82.6446280992","0.661157024793","0.661157024793","1.25940924356e-14","2.64462809917","1.18153762686e-14","4.91101417386e-16","PASS","all_thresholds_and_signs_pass"
"0.500000000000","500.000000000","165.289256198","1.32231404959","1.32231404959","1.29299349005e-14","2.64462809917","9.79934313003e-15","4.73469723177e-16","PASS","all_thresholds_and_signs_pass"
"1.00000000000","10.0000000000","3.30578512397","0.0132231404959","0.0132231404959","1.36436001386e-14","1.32231404959","1.53655973204e-14","6.06416504125e-15","PASS","all_thresholds_and_signs_pass"
"1.00000000000","50.0000000000","16.5289256198","0.0661157024793","0.0661157024793","4.19803081186e-16","1.32231404959","6.86970622051e-15","1.33705323648e-15","PASS","all_thresholds_and_signs_pass"
"1.00000000000","100.000000000","33.0578512397","0.132231404959","0.132231404959","2.51881848712e-15","1.32231404959","8.84289083104e-16","7.47255851244e-16","PASS","all_thresholds_and_signs_pass"
"1.00000000000","250.000000000","82.6446280992","0.330578512397","0.330578512397","4.19803081186e-15","1.32231404959","6.26051642665e-15","3.76947591000e-16","PASS","all_thresholds_and_signs_pass"
"1.00000000000","500.000000000","165.289256198","0.661157024793","0.661157024793","5.37347943919e-15","1.32231404959","8.11192376794e-15","2.86884464776e-16","PASS","all_thresholds_and_signs_pass"
"2.00000000000","10.0000000000","3.30578512397","0.00661157024793","0.00661157024793","4.85397312622e-15","0.661157024793","2.54072267116e-14","1.20961394710e-14","PASS","all_thresholds_and_signs_pass"
"2.00000000000","50.0000000000","16.5289256198","0.0330578512397","0.0330578512397","3.35842464949e-15","0.661157024793","1.84665116410e-14","2.57117567424e-15","PASS","all_thresholds_and_signs_pass"
"2.00000000000","100.000000000","33.0578512397","0.0661157024793","0.0661157024793","7.34655392076e-15","0.661157024793","1.40683175871e-14","1.36439406322e-15","PASS","all_thresholds_and_signs_pass"
"2.00000000000","250.000000000","82.6446280992","0.165289256198","0.165289256198","1.37695410629e-14","0.661157024793","1.28151277234e-14","6.60349181516e-16","PASS","all_thresholds_and_signs_pass"
"2.00000000000","500.000000000","165.289256198","0.330578512397","0.330578512397","1.34336985980e-14","0.661157024793","1.27323485705e-14","5.19895299635e-16","PASS","all_thresholds_and_signs_pass"
