"source_file","record_id","field_name","required","state","detail"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","cell_id","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","replicate_id","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","operator","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","measurement_datetime","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","instrument","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","instrument_software","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","raw_file_path","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","raw_file_size_bytes","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","raw_file_sha256","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","normalized_table_path","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","normalized_table_size_bytes","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","normalized_table_sha256","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","frequency_unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","impedance_unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","frequency_min_Hz","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","frequency_max_Hz","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","points_per_decade","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","perturbation_amplitude_V","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","dc_condition","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","temperature_K","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","electrolyte_composition","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","electrolyte_batch","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","salt_concentration_mol_L","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","water_content","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","water_content_unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","water_content_method","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","gas_atmosphere","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","pressure_Pa","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","flow_rate_m3_s","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","stabilization_time_s","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","eis_area_basis","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","eis_area_m2","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","source_notebook_reference","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","hfr_method","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","hfr_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","hfr_uncertainty_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","hfr_status","TRUE","MISSING","user must supply this field"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","hfr_source_reference","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","value_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","uncertainty_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","method","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","replicate_count","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","temperature_K","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","source_reference","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","raw_evidence_path","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","raw_evidence_size_bytes","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/fixture","raw_evidence_sha256","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","value_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","uncertainty_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","method","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","replicate_count","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","temperature_K","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","source_reference","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","raw_evidence_path","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","raw_evidence_size_bytes","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/contact","raw_evidence_sha256","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","value_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","uncertainty_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","method","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","replicate_count","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","temperature_K","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","source_reference","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","raw_evidence_path","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","raw_evidence_size_bytes","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/membrane","raw_evidence_sha256","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","value_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","uncertainty_ohm","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","method","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","replicate_count","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","temperature_K","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","source_reference","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","raw_evidence_path","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","raw_evidence_size_bytes","TRUE","MISSING","user must supply this field"
"config/M03A_5_resistance_ledger.csv","EXP_TEMPLATE_001/other_series","raw_evidence_sha256","TRUE","MISSING","user must supply this field"
"config/M03A_5_area_measurements.csv","EXP_TEMPLATE_001/electrode_spacing","value_SI","TRUE","MISSING","user must supply this field"
"config/M03A_5_area_measurements.csv","EXP_TEMPLATE_001/electrode_spacing","uncertainty_SI","TRUE","MISSING","user must supply this field"
"config/M03A_5_area_measurements.csv","EXP_TEMPLATE_001/electrode_spacing","unit","TRUE","MISSING","user must supply this field"
"config/M03A_5_area_measurements.csv","EXP_TEMPLATE_001/electrode_spacing","measurement_method","TRUE","MISSING","user must supply this field"
"config/M03A_5_area_measurements.csv","EXP_TEMPLATE_001/electrode_spacing","source_reference","TRUE","MISSING","user must supply this field"
